:START_ID(Customer),:END_ID(Review),:TYPE
CQ342,1315,WROTE
PP445,1899,WROTE
FH577,461,WROTE
UX006,499,WROTE
BB289,1432,WROTE
BI779,1445,WROTE
PW133,146,WROTE
OP489,924,WROTE
KG442,1317,WROTE
BM923,1464,WROTE
YU657,1973,WROTE
XJ301,20,WROTE
ME937,220,WROTE
JF161,278,WROTE
PA744,399,WROTE
ZS800,1160,WROTE
ME427,1355,WROTE
FV053,1771,WROTE
UJ111,1118,WROTE
PP445,1952,WROTE
XF063,732,WROTE
WJ836,874,WROTE
OP489,1239,WROTE
GL585,1460,WROTE
WA699,357,WROTE
ME937,1556,WROTE
PW133,1741,WROTE
WA699,1943,WROTE
EP042,24,WROTE
VG356,521,WROTE
BZ875,1591,WROTE
BA641,394,WROTE
CP557,526,WROTE
RX839,552,WROTE
WW907,942,WROTE
VG866,490,WROTE
FC408,504,WROTE
JE131,1715,WROTE
SH357,1949,WROTE
GX313,1985,WROTE
AT393,627,WROTE
UJ111,650,WROTE
GL585,888,WROTE
CP557,1033,WROTE
CP557,406,WROTE
TS482,418,WROTE
WX552,564,WROTE
UJ111,934,WROTE
HV669,1029,WROTE
RG624,1151,WROTE
QV674,1542,WROTE
GL585,1797,WROTE
GM998,117,WROTE
TS482,1541,WROTE
HB450,1256,WROTE
MO096,1707,WROTE
NX044,183,WROTE
PP445,741,WROTE
XJ301,843,WROTE
FH577,566,WROTE
NP027,1574,WROTE
JF161,668,WROTE
MO096,923,WROTE
XF175,1409,WROTE
MN973,210,WROTE
UG241,264,WROTE
GH966,957,WROTE
WJ836,1035,WROTE
XK740,1246,WROTE
VG356,1376,WROTE
RD903,859,WROTE
XS318,1234,WROTE
GX313,331,WROTE
DZ282,1214,WROTE
JE131,1521,WROTE
TS965,1738,WROTE
KU222,1891,WROTE
MW869,126,WROTE
YR668,589,WROTE
KG442,600,WROTE
SG571,1272,WROTE
SP499,1387,WROTE
UG241,341,WROTE
LM896,1167,WROTE
XF175,1589,WROTE
LM896,1831,WROTE
ME427,815,WROTE
YK404,594,WROTE
XK740,1907,WROTE
FC408,1927,WROTE
HB450,808,WROTE
FG235,100,WROTE
CQ342,1278,WROTE
CQ342,1978,WROTE
ME427,123,WROTE
HV669,169,WROTE
YK404,954,WROTE
BI779,1026,WROTE
UX006,1085,WROTE
ZB457,1142,WROTE
ET664,1799,WROTE
GG174,1903,WROTE
KU222,444,WROTE
GX313,898,WROTE
YR668,1565,WROTE
RD903,1934,WROTE
HS034,412,WROTE
YI042,155,WROTE
VG356,180,WROTE
WW907,292,WROTE
TS482,828,WROTE
MO096,1813,WROTE
EP042,1363,WROTE
LM896,1371,WROTE
PW133,1779,WROTE
XF063,1348,WROTE
GX313,1507,WROTE
GL585,1984,WROTE
PP445,919,WROTE
GM998,156,WROTE
NX044,1148,WROTE
KM231,1300,WROTE
UE097,49,WROTE
DZ282,487,WROTE
ZS800,1005,WROTE
FO691,1802,WROTE
WJ836,676,WROTE
PW133,829,WROTE
MF124,1013,WROTE
GM998,820,WROTE
SF467,863,WROTE
XS318,974,WROTE
YR668,1290,WROTE
HV669,1501,WROTE
KG442,285,WROTE
RG624,328,WROTE
AT393,712,WROTE
UK650,972,WROTE
UG538,1095,WROTE
TS965,128,WROTE
YU657,1453,WROTE
LC746,1728,WROTE
AT393,336,WROTE
XF175,1269,WROTE
MW869,1642,WROTE
EZ177,484,WROTE
SP499,554,WROTE
FG235,910,WROTE
CE253,1010,WROTE
YR668,110,WROTE
WM652,1241,WROTE
HB450,1291,WROTE
BM923,811,WROTE
HB450,1247,WROTE
UE097,1344,WROTE
MW869,343,WROTE
NP027,363,WROTE
GL585,1872,WROTE
IZ670,597,WROTE
DZ282,1305,WROTE
XE484,1926,WROTE
MN973,186,WROTE
EX753,1636,WROTE
GX313,1684,WROTE
PW133,397,WROTE
XJ301,824,WROTE
IZ670,994,WROTE
CP557,1697,WROTE
NZ037,284,WROTE
NP027,582,WROTE
GM998,948,WROTE
XS318,1197,WROTE
BM923,1470,WROTE
WX552,70,WROTE
HV669,907,WROTE
BI779,1088,WROTE
HD935,518,WROTE
YR668,908,WROTE
SP499,1333,WROTE
ZB457,786,WROTE
RD903,164,WROTE
WW907,217,WROTE
UK650,298,WROTE
UH169,462,WROTE
NX044,537,WROTE
DZ282,530,WROTE
UG241,1479,WROTE
BI779,832,WROTE
FO691,945,WROTE
GH966,1082,WROTE
AT393,1713,WROTE
WJ836,1482,WROTE
JL382,1621,WROTE
NP027,23,WROTE
AS968,754,WROTE
UX006,901,WROTE
XF063,1604,WROTE
FH577,1675,WROTE
WW907,1997,WROTE
XF063,371,WROTE
UE097,411,WROTE
WM652,1159,WROTE
SG571,167,WROTE
AS832,63,WROTE
FG235,86,WROTE
MO096,1633,WROTE
UH169,622,WROTE
HB450,640,WROTE
ZB457,1520,WROTE
CH892,1055,WROTE
MN973,1228,WROTE
XK740,915,WROTE
GL585,1342,WROTE
BZ875,480,WROTE
FC408,868,WROTE
VG866,1212,WROTE
GD537,1318,WROTE
FO691,1119,WROTE
YR668,8,WROTE
YU657,314,WROTE
BA641,1136,WROTE
ME937,1232,WROTE
VG866,1396,WROTE
UE097,403,WROTE
LM896,653,WROTE
EX753,827,WROTE
YX585,1499,WROTE
PD136,1953,WROTE
WA699,103,WROTE
XC404,108,WROTE
KG442,373,WROTE
LM896,273,WROTE
BA641,1671,WROTE
OP489,660,WROTE
BB289,1101,WROTE
PW133,1227,WROTE
FA748,1200,WROTE
CH892,1865,WROTE
LM896,497,WROTE
PD136,524,WROTE
KU222,1075,WROTE
VG356,876,WROTE
RD903,1625,WROTE
BM923,1677,WROTE
LC746,1879,WROTE
JF161,646,WROTE
YK404,1860,WROTE
GX313,835,WROTE
DZ282,1163,WROTE
GX313,175,WROTE
XS318,1325,WROTE
FC408,1840,WROTE
KU222,46,WROTE
JE131,654,WROTE
FO691,807,WROTE
MW869,1156,WROTE
IZ670,1304,WROTE
UJ111,1877,WROTE
WM652,1473,WROTE
NP027,715,WROTE
ZI402,315,WROTE
PP445,1126,WROTE
VG866,1310,WROTE
GH966,1477,WROTE
TS965,1601,WROTE
TS482,158,WROTE
FG235,755,WROTE
ET664,611,WROTE
RX839,875,WROTE
YR668,1350,WROTE
GL585,1418,WROTE
BM923,774,WROTE
HC500,1679,WROTE
BA641,819,WROTE
SF467,1072,WROTE
NZ037,1184,WROTE
ME427,109,WROTE
JE131,205,WROTE
IZ670,965,WROTE
EX753,1096,WROTE
KG442,81,WROTE
AS968,1048,WROTE
RG624,1238,WROTE
UG538,1404,WROTE
ZB457,1530,WROTE
HD935,1834,WROTE
NZ037,943,WROTE
SF467,708,WROTE
AS968,745,WROTE
RD903,1842,WROTE
WA699,719,WROTE
GM998,1060,WROTE
WA699,1912,WROTE
ZS800,58,WROTE
HS034,432,WROTE
XF063,1265,WROTE
ZG482,1848,WROTE
SP499,1987,WROTE
KM231,1524,WROTE
UX006,430,WROTE
KG442,1945,WROTE
BM923,3,WROTE
TS965,107,WROTE
ME937,1902,WROTE
ZG482,367,WROTE
SH357,1379,WROTE
IZ670,1483,WROTE
BA641,171,WROTE
EP042,1230,WROTE
FC851,113,WROTE
EP042,626,WROTE
RG624,895,WROTE
GL585,1037,WROTE
ME937,1054,WROTE
GM998,1536,WROTE
AS832,60,WROTE
ME427,848,WROTE
MW869,322,WROTE
FC851,962,WROTE
VG356,1463,WROTE
PD136,1788,WROTE
HS034,724,WROTE
FG235,1338,WROTE
YI042,1883,WROTE
UG538,1807,WROTE
VG866,1996,WROTE
WJ836,1936,WROTE
FH577,1369,WROTE
QV674,1558,WROTE
HB450,1768,WROTE
CE253,482,WROTE
JL382,702,WROTE
UK650,857,WROTE
PA744,990,WROTE
PA744,1660,WROTE
FV053,1999,WROTE
ME937,249,WROTE
YU657,1623,WROTE
FG235,1817,WROTE
GG174,460,WROTE
IZ670,1573,WROTE
FV053,1203,WROTE
PA744,474,WROTE
XJ301,1385,WROTE
UX006,223,WROTE
OD228,778,WROTE
SP499,250,WROTE
HD935,469,WROTE
FV053,493,WROTE
TS965,818,WROTE
MN973,176,WROTE
TS482,1438,WROTE
YI042,1502,WROTE
MO096,1465,WROTE
PD136,80,WROTE
IZ670,928,WROTE
UG241,1803,WROTE
FV053,237,WROTE
ME937,1046,WROTE
OP489,1289,WROTE
NP027,1495,WROTE
CE253,74,WROTE
WA699,104,WROTE
BA641,410,WROTE
WA699,1778,WROTE
GH966,32,WROTE
YK404,153,WROTE
ZI402,804,WROTE
PP445,1051,WROTE
GX313,1480,WROTE
GD537,1726,WROTE
FG235,391,WROTE
FC851,946,WROTE
FO691,1041,WROTE
SP499,1830,WROTE
NZ037,733,WROTE
CE253,817,WROTE
YI042,930,WROTE
CP557,1180,WROTE
XF175,1990,WROTE
BB289,344,WROTE
VG866,378,WROTE
BM923,851,WROTE
QV674,1991,WROTE
ME427,664,WROTE
GD537,792,WROTE
FN751,1527,WROTE
FG235,1795,WROTE
UE097,1868,WROTE
MN973,458,WROTE
FV053,1989,WROTE
VG866,1983,WROTE
KG442,775,WROTE
OD228,813,WROTE
ME427,780,WROTE
ZI402,975,WROTE
SG571,1001,WROTE
XF063,1235,WROTE
XC404,1518,WROTE
WM652,826,WROTE
RX839,1177,WROTE
XF063,1560,WROTE
CH892,130,WROTE
PD136,953,WROTE
VG356,1373,WROTE
HS034,1537,WROTE
TS482,771,WROTE
NX044,1598,WROTE
KG442,1204,WROTE
BM923,243,WROTE
HC500,841,WROTE
FO691,401,WROTE
BM923,422,WROTE
UG538,503,WROTE
LM896,736,WROTE
WW907,879,WROTE
GH966,906,WROTE
BI779,192,WROTE
PD136,320,WROTE
OD228,325,WROTE
MW869,360,WROTE
CE253,636,WROTE
ME937,1132,WROTE
KM231,1503,WROTE
UK650,1571,WROTE
SP499,199,WROTE
FO691,473,WROTE
DZ282,1110,WROTE
PP445,583,WROTE
PD136,768,WROTE
RX839,920,WROTE
IZ670,1744,WROTE
XC404,420,WROTE
EX753,864,WROTE
CP557,1546,WROTE
SP499,252,WROTE
LM896,996,WROTE
GH966,1484,WROTE
BA641,1922,WROTE
HB450,1972,WROTE
SH357,390,WROTE
EX753,1403,WROTE
ME427,1425,WROTE
YX585,1618,WROTE
FC851,1702,WROTE
BB289,790,WROTE
WM652,1030,WROTE
KG442,1893,WROTE
FC851,17,WROTE
FN751,327,WROTE
ZS800,342,WROTE
GG174,1150,WROTE
SP499,1575,WROTE
AS968,48,WROTE
ZS800,132,WROTE
KM231,726,WROTE
GL585,951,WROTE
FH577,1724,WROTE
YX585,1913,WROTE
KG442,1957,WROTE
UG538,45,WROTE
PW133,557,WROTE
SH357,177,WROTE
BM923,229,WROTE
ZB457,739,WROTE
WM652,890,WROTE
XS318,1089,WROTE
RX839,1572,WROTE
ZS800,1360,WROTE
KG442,1750,WROTE
TS482,1932,WROTE
UJ111,787,WROTE
GX313,337,WROTE
BI779,1550,WROTE
KM231,1176,WROTE
XC404,1222,WROTE
FO691,148,WROTE
BZ875,689,WROTE
FV053,150,WROTE
SH357,750,WROTE
YX585,1449,WROTE
BA641,483,WROTE
ME937,525,WROTE
PP445,856,WROTE
FA748,998,WROTE
KU222,232,WROTE
FN751,488,WROTE
FO691,502,WROTE
FA748,746,WROTE
KU222,1392,WROTE
OD228,1528,WROTE
BI779,1970,WROTE
HV669,443,WROTE
FA748,516,WROTE
ZB457,698,WROTE
UG241,1935,WROTE
DZ282,200,WROTE
GM998,338,WROTE
GH966,960,WROTE
BB289,1023,WROTE
YI042,1531,WROTE
VG866,1867,WROTE
XK740,510,WROTE
UK650,89,WROTE
