orderId:ID(Order),OrderDate,RequiredDate,ShippedDate,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,OrderID,labels:LABEL
73,2026-03-04 15:14:44,2026-03-11 15:14:44,2026-03-07 15:14:44,334.93,思优传媒有限公司生物科技,天津市武汉市普陀宜都街M座 997374,拉萨县,河北省,825490,中国,73,Order
74,2025-06-19 06:27:12,2025-06-24 06:27:12,2025-06-22 06:27:12,64.78,和泰科技有限公司区块链技术,重庆市重庆市和平北京街u座 140339,成市,安徽省,238244,中国,74,Order
75,2025-09-26 11:28:23,2025-10-02 11:28:23,2025-09-28 11:28:23,343.63,快讯信息有限公司大数据分析,内蒙古自治区通辽县金平兴城路i座 503555,荆门市,云南省,281393,中国,75,Order
76,2024-10-22 09:43:47,2024-11-01 09:43:47,2024-10-25 09:43:47,12.45,四通传媒有限公司信息技术,西藏自治区嘉禾县高明西宁路X座 823260,汕尾县,四川省,305729,中国,76,Order
77,2026-02-25 06:38:02,2026-03-02 06:38:02,,303.27,和泰科技有限公司智能科技,湖北省艳县城东武汉路F座 536666,永安市,陕西省,833354,中国,77,Order
78,2025-06-16 08:42:26,2025-06-21 08:42:26,2025-06-19 08:42:26,60.68,图龙信息科技有限公司金融科技,台湾省南京县蓟州武汉街t座 149909,重庆市,山东省,188461,中国,78,Order
79,2026-01-08 10:43:51,2026-01-13 10:43:51,2026-01-12 10:43:51,194.6,彩虹科技有限公司生物科技,台湾省旭市门头沟东莞街E座 294059,梧州市,贵州省,932212,中国,79,Order
80,2025-04-05 11:09:50,2025-04-18 11:09:50,2025-04-06 11:09:50,484.21,新格林耐特网络有限公司科技公司,陕西省莉市海陵潮州街b座 800220,海门市,广东省,966848,中国,80,Order
81,2024-11-10 00:29:51,2024-11-20 00:29:51,2024-11-14 00:29:51,420.48,图龙信息传媒有限公司云计算,台湾省潜江县朝阳海门街I座 891358,宜都县,澳门特别行政区,139184,中国,81,Order
82,2024-11-19 15:36:30,2024-11-23 15:36:30,2024-11-22 15:36:30,271.6,良诺信息有限公司信息技术,陕西省南昌县西峰朱路u座 281318,兰州县,天津市,255219,中国,82,Order
83,2026-03-16 09:03:24,2026-03-29 09:03:24,,274.7,和泰科技有限公司智能科技,湖北省艳县城东武汉路F座 536666,永安市,陕西省,833354,中国,83,Order
84,2025-03-16 05:19:43,2025-03-19 05:19:43,,274.57,富罳网络有限公司互联网服务,重庆市宁市东城黄街A座 847040,洋县,福建省,901498,中国,84,Order
85,2025-04-05 22:00:13,2025-04-10 22:00:13,,304.07,飞海科技科技有限公司电子商务,上海市长春市江北佛山街L座 320483,兰州市,陕西省,185037,中国,85,Order
86,2025-10-21 07:08:31,2025-10-24 07:08:31,2025-10-26 07:08:31,360.48,良诺传媒有限公司金融科技,陕西省潜江县怀柔赵街Z座 367503,巢湖市,黑龙江省,636618,中国,86,Order
87,2025-03-16 21:20:22,2025-03-23 21:20:22,,238.74,和泰信息有限公司人工智能,云南省武汉市江北邱路V座 822794,石家庄市,湖北省,428965,中国,87,Order
88,2024-07-22 23:37:30,2024-08-02 23:37:30,2024-07-24 23:37:30,465.49,数字100传媒有限公司物联网,澳门特别行政区哈尔滨县大兴上海路e座 923516,秀英市,河北省,622442,中国,88,Order
89,2025-01-15 04:28:14,2025-01-23 04:28:14,2025-01-17 04:28:14,467.56,黄石金承信息有限公司网络安全,河南省丹县东城尤街b座 715081,军市,宁夏回族自治区,558977,中国,89,Order
90,2024-06-06 23:16:50,2024-06-15 23:16:50,2024-06-10 23:16:50,427.1,太极网络有限公司网络安全,江西省银川市兴山上海路W座 571776,惠州市,内蒙古自治区,797677,中国,90,Order
91,2026-01-09 20:54:17,2026-01-17 20:54:17,2026-01-11 20:54:17,15.79,恩悌网络有限公司大数据分析,海南省宜都市海陵张街e座 169265,北镇县,香港特别行政区,794751,中国,91,Order
92,2024-09-03 09:03:39,2024-09-06 09:03:39,,237.45,趋势网络有限公司移动应用开发,北京市大冶县普陀陈路n座 239667,秀珍县,广西壮族自治区,519778,中国,92,Order
93,2024-07-17 09:34:37,2024-07-30 09:34:37,2024-07-21 09:34:37,220.91,数字100科技有限公司人工智能,安徽省北镇市东丽淮安路q座 582719,慧市,河南省,391859,中国,93,Order
94,2025-06-30 11:37:31,2025-07-11 11:37:31,2025-07-05 11:37:31,223.17,数字100传媒有限公司物联网,澳门特别行政区哈尔滨县大兴上海路e座 923516,秀英市,河北省,622442,中国,94,Order
95,2025-05-21 23:48:44,2025-05-30 23:48:44,2025-05-26 23:48:44,177.29,凌云信息有限公司区块链技术,香港特别行政区鑫县滨城顾街t座 413207,石家庄市,甘肃省,366678,中国,95,Order
96,2025-02-20 11:02:49,2025-02-23 11:02:49,,411.86,鑫博腾飞网络有限公司科技公司,上海市马鞍山市高港梧州路P座 473928,福州县,青海省,812546,中国,96,Order
97,2026-04-01 18:08:55,2026-04-06 18:08:55,2026-04-03 18:08:55,21.48,新宇龙信息科技有限公司科技公司,浙江省坤县海港淮安路j座 926220,贵阳市,澳门特别行政区,497153,中国,97,Order
98,2025-11-04 21:11:47,2025-11-12 21:11:47,2025-11-07 21:11:47,317.51,创联世纪网络有限公司智能科技,福建省汕尾县和平曲街q座 407084,荆门县,天津市,950509,中国,98,Order
99,2025-07-26 01:02:02,2025-08-06 01:02:02,2025-07-28 01:02:02,43.67,和泰信息有限公司大数据分析,山东省鑫县魏都长沙街L座 384089,西安县,北京市,195089,中国,99,Order
100,2025-12-26 17:56:06,2026-01-09 17:56:06,2025-12-29 17:56:06,90.19,图龙信息传媒有限公司云计算,台湾省潜江县朝阳海门街I座 891358,宜都县,澳门特别行政区,139184,中国,100,Order
101,2025-03-16 03:29:30,2025-03-27 03:29:30,2025-03-18 03:29:30,67.2,九方科技有限公司虚拟现实,广东省莹县滨城徐街w座 535418,慧县,江西省,744631,中国,101,Order
102,2024-07-12 09:07:07,2024-07-22 09:07:07,,26.3,天益传媒有限公司区块链技术,吉林省莉市涪城哈尔滨街q座 220531,婷婷县,澳门特别行政区,276141,中国,102,Order
103,2025-10-24 05:17:20,2025-10-27 05:17:20,,118.61,戴硕电子科技有限公司云计算,辽宁省莹市涪城阎街h座 431413,成都县,天津市,423590,中国,103,Order
104,2024-09-10 22:46:38,2024-09-20 22:46:38,2024-09-11 22:46:38,347.29,超艺信息有限公司云计算,河北省成市东丽昆明街K座 960129,婷婷市,浙江省,753169,中国,104,Order
105,2025-08-26 02:04:58,2025-08-30 02:04:58,,498.23,天益传媒有限公司区块链技术,吉林省莉市涪城哈尔滨街q座 220531,婷婷县,澳门特别行政区,276141,中国,105,Order
106,2024-05-21 02:49:45,2024-05-31 02:49:45,2024-05-26 02:49:45,432.25,迪摩科技有限公司智能科技,新疆维吾尔自治区哈尔滨市清河张路X座 621260,海门市,香港特别行政区,884493,中国,106,Order
107,2025-05-11 10:23:53,2025-05-24 10:23:53,2025-05-14 10:23:53,29.18,信诚致远科技有限公司虚拟现实,贵州省永安县闵行齐齐哈尔街f座 397948,石家庄市,吉林省,557980,中国,107,Order
108,2024-04-24 11:13:24,2024-05-06 11:13:24,2024-04-28 11:13:24,280.19,信诚致远科技有限公司虚拟现实,贵州省永安县闵行齐齐哈尔街f座 397948,石家庄市,吉林省,557980,中国,108,Order
109,2026-03-07 06:58:14,2026-03-14 06:58:14,2026-03-11 06:58:14,314.11,富罳网络有限公司互联网服务,重庆市宁市东城黄街A座 847040,洋县,福建省,901498,中国,109,Order
110,2024-07-10 01:29:54,2024-07-20 01:29:54,2024-07-13 01:29:54,225.65,雨林木风计算机传媒有限公司物联网,内蒙古自治区柳市南湖齐齐哈尔路L座 415915,贵阳县,天津市,420544,中国,110,Order
111,2025-04-24 00:50:04,2025-05-01 00:50:04,,483.13,鸿睿思博网络有限公司人工智能,西藏自治区云市蓟州黄路W座 144791,艳县,山西省,200853,中国,111,Order
112,2025-03-27 11:13:22,2025-03-31 11:13:22,2025-04-01 11:13:22,382.17,鸿睿思博网络有限公司科技公司,青海省兴安盟县西夏佘街D座 903506,长春县,澳门特别行政区,979622,中国,112,Order
113,2026-03-20 10:02:54,2026-03-30 10:02:54,2026-03-23 10:02:54,154.51,信诚致远科技有限公司虚拟现实,贵州省永安县闵行齐齐哈尔街f座 397948,石家庄市,吉林省,557980,中国,113,Order
114,2024-10-07 10:42:15,2024-10-16 10:42:15,2024-10-12 10:42:15,307.46,中建创业网络有限公司信息技术,江苏省南宁市沈河吴街H座 274714,凤英市,海南省,841697,中国,114,Order
115,2025-04-04 06:02:01,2025-04-18 06:02:01,2025-04-08 06:02:01,255.8,华远软件网络有限公司区块链技术,江西省杨市城东贾街d座 720547,广州县,海南省,430957,中国,115,Order
116,2024-09-21 14:02:43,2024-09-25 14:02:43,2024-09-24 14:02:43,376.57,商软冠联传媒有限公司物联网,宁夏回族自治区淮安市高明石家庄路C座 942043,刚县,新疆维吾尔自治区,745577,中国,116,Order
117,2025-09-08 03:29:22,2025-09-22 03:29:22,2025-09-12 03:29:22,80.81,创联世纪网络有限公司数字科技,辽宁省亮县锡山澳门路k座 303312,汕尾市,海南省,997340,中国,117,Order
118,2024-04-29 20:55:26,2024-05-02 20:55:26,2024-05-04 20:55:26,184.56,国讯科技有限公司科技公司,甘肃省玉梅县城北广州路a座 989029,文县,云南省,210027,中国,118,Order
119,2025-01-26 04:52:17,2025-01-29 04:52:17,2025-01-27 04:52:17,442.72,太极传媒有限公司物联网,江苏省明市黄浦武汉街C座 796913,瑞市,江苏省,735321,中国,119,Order
120,2025-06-23 22:13:49,2025-07-07 22:13:49,2025-06-25 22:13:49,34.32,迪摩科技有限公司智能科技,新疆维吾尔自治区哈尔滨市清河张路X座 621260,海门市,香港特别行政区,884493,中国,120,Order
121,2025-03-12 07:09:00,2025-03-26 07:09:00,2025-03-15 07:09:00,237.07,恩悌网络有限公司大数据分析,海南省宜都市海陵张街e座 169265,北镇县,香港特别行政区,794751,中国,121,Order
122,2025-01-09 20:11:58,2025-01-18 20:11:58,2025-01-12 20:11:58,163.96,图龙信息科技有限公司金融科技,台湾省南京县蓟州武汉街t座 149909,重庆市,山东省,188461,中国,122,Order
123,2024-06-27 02:10:52,2024-07-07 02:10:52,2024-06-30 02:10:52,124.08,超艺信息有限公司云计算,河北省成市东丽昆明街K座 960129,婷婷市,浙江省,753169,中国,123,Order
124,2025-11-09 22:15:49,2025-11-19 22:15:49,2025-11-12 22:15:49,466.65,迪摩网络有限公司移动应用开发,湖南省宁德县徐汇袁路V座 319614,桂兰县,台湾省,555505,中国,124,Order
125,2024-08-26 20:14:32,2024-09-03 20:14:32,2024-08-31 20:14:32,408.59,良诺传媒有限公司金融科技,陕西省潜江县怀柔赵街Z座 367503,巢湖市,黑龙江省,636618,中国,125,Order
126,2025-09-05 19:58:57,2025-09-19 19:58:57,2025-09-08 19:58:57,266.65,恒聪百汇科技有限公司互联网服务,云南省帆市清城曾路O座 622721,淑珍县,湖南省,352095,中国,126,Order
127,2024-05-23 03:56:08,2024-05-28 03:56:08,2024-05-27 03:56:08,233.83,浦华众城传媒有限公司数字科技,海南省利县普陀巢湖路o座 999720,荣县,青海省,522458,中国,127,Order
128,2024-11-03 05:52:14,2024-11-16 05:52:14,2024-11-05 05:52:14,274.88,华远软件科技有限公司科技公司,河南省大冶市萧山吴街H座 487564,晨县,安徽省,892811,中国,128,Order
129,2024-07-04 05:08:55,2024-07-07 05:08:55,2024-07-07 05:08:55,208.81,泰麒麟传媒有限公司人工智能,湖北省琴县上街童街r座 617701,兰英县,澳门特别行政区,990446,中国,129,Order
130,2024-08-27 17:15:47,2024-09-02 17:15:47,2024-08-28 17:15:47,289.99,恩悌网络有限公司大数据分析,海南省宜都市海陵张街e座 169265,北镇县,香港特别行政区,794751,中国,130,Order
131,2025-04-12 21:44:52,2025-04-19 21:44:52,2025-04-17 21:44:52,35.28,恩悌网络有限公司大数据分析,海南省宜都市海陵张街e座 169265,北镇县,香港特别行政区,794751,中国,131,Order
132,2026-02-23 11:17:36,2026-03-05 11:17:36,2026-02-24 11:17:36,376.83,和泰信息有限公司人工智能,云南省武汉市江北邱路V座 822794,石家庄市,湖北省,428965,中国,132,Order
133,2024-05-24 22:48:54,2024-05-30 22:48:54,,381.0,万迅电脑传媒有限公司大数据分析,福建省建军市蓟州淮安街Z座 471477,哈尔滨县,贵州省,302896,中国,133,Order
134,2024-10-24 01:55:05,2024-11-02 01:55:05,2024-10-28 01:55:05,318.46,通际名联科技有限公司移动应用开发,山西省辉市孝南黄街s座 643128,玉珍县,北京市,925586,中国,134,Order
135,2025-01-25 11:15:47,2025-01-29 11:15:47,2025-01-30 11:15:47,196.02,华泰通安科技有限公司金融科技,上海市洁县门头沟沈阳街m座 363484,倩市,广东省,587939,中国,135,Order
136,2024-10-12 09:10:27,2024-10-22 09:10:27,2024-10-13 09:10:27,320.03,恒聪百汇科技有限公司互联网服务,云南省帆市清城曾路O座 622721,淑珍县,湖南省,352095,中国,136,Order
137,2025-05-18 07:11:44,2025-05-26 07:11:44,2025-05-22 07:11:44,72.98,创联世纪网络有限公司智能科技,福建省汕尾县和平曲街q座 407084,荆门县,天津市,950509,中国,137,Order
